filename,route,section,alt_text
"01-homepage-hero-ai-dispatch.webp","/","Hero","TradeLink AI dispatch connecting a home emergency with verified local tradespeople"
"02-step-snap-and-describe.webp","/","Snap & Describe","Phone camera scanning a leaking pipe and preparing an AI diagnosis"
"03-step-instant-match.webp","/","Instant Match","TradeLink matching a homeowner with five nearby available professionals"
"04-step-live-tracking.webp","/","Live Tracking","Live route and arrival time for a verified local tradesperson"
"05-trust-vetting-shield.webp","/","Built on Trust","TradeLink verification shield for identity insurance qualifications and reviews"
"06-pro-dashboard-live-radar.webp","/pricing","TradeLink Pro","Professional dashboard with live area radar and incoming emergency job"
"07-property-manager-control-centre.webp","/pricing","Property Managers","Property portfolio connected to a central maintenance dispatch system"
"08-emergency-priority-ping.webp","/post-job","Priority Ping","Emergency job broadcasting to nearby verified tradespeople"
"09-tradespeople-network.webp","/register","Join the Pro Network","Network of local plumbers electricians builders and heating engineers"
"10-social-og-card.webp","metadata","Open Graph","TradeLink stop waiting start fixing social sharing graphic"
